AGCNr,Name,RAdeg_HI,DECdeg_HI,RAdeg_OC,DECdeg_OC,Vhelio,W50,sigW,W20,HIflux,sigflux,SNR,RMS,Dist,sigDist,logMH,siglogMH,HIcode
5148,063-028.,144.88625,11.51167,144.88916,11.50917,5904,332,4,353,4.29,0.11,22.2,2.36,88.9,2.4,9.9,0.05,1
191281,035-025.,144.88873,6.42306,144.89667,6.41417,7420,342,144,350,2.16,0.1,11.7,2.24,110.7,2.4,9.79,0.05,1
193294,........,144.92958,2.27472,144.93875,2.27306,11156,206,20,242,1.96,0.13,8.6,3.53,164.1,2.3,10.09,0.05,1
193897,........,144.94124,16.09639,144.93832,16.09111,8027,141,32,151,0.82,0.07,6.6,2.32,119.1,2.3,9.44,0.06,1
192612,........,144.95749,7.06472,144.95332,7.06583,5682,173,4,191,1.46,0.08,11.2,2.2,85.9,2.1,9.4,0.05,1
193972,........,144.96249,9.49639,144.95958,9.48556,9275,306,10,333,1.02,0.08,7.3,1.79,137.1,2.4,9.66,0.06,1
191284,092-023.,144.96666,15.99139,144.96541,15.99556,8052,274,15,295,1.92,0.09,11.2,2.3,119.5,2.3,9.81,0.05,1
191283,092-024.,144.96748,16.91528,144.96707,16.91778,14305,448,5,461,2.98,0.13,11.6,2.56,208.8,2.3,10.49,0.05,1
193898,........,144.9725,16.09139,144.98082,16.09195,7860,66,15,91,0.92,0.05,10.5,2.38,116.7,2.3,9.47,0.05,1
190426,063-029.,144.97374,11.04528,144.97374,11.03722,6698,232,3,250,2.17,0.08,14.8,2.16,100.3,2.4,9.71,0.05,1
191515,........,144.98541,9.46611,144.97708,9.475,5625,251,6,264,1.03,0.07,7.9,1.83,82.6,2.2,9.22,0.06,1
191862,........,144.98582,9.58417,144.98041,9.58333,6104,131,5,143,0.82,0.06,8.2,1.94,91.8,2.3,9.21,0.06,1
192372,........,144.9904,9.16667,144.99167,9.17861,6519,95,13,133,0.77,0.06,7.6,2.33,97.8,2.3,9.24,0.06,1
193833,........,145.05251,9.92583,145.05501,9.92528,3381,44,3,58,0.73,0.03,14.0,1.71,51.3,2.3,8.66,0.06,1
193676,........,145.05876,0.72,145.06126,0.70917,7800,106,15,131,1.13,0.08,7.9,3.08,116.2,2.3,9.56,0.06,1
191708,KKH.53..,145.10875,0.045,145.1125,0.0425,1887,28,5,53,1.09,0.06,14.6,3.0,29.3,2.4,8.34,0.09,1
192613,........,145.11874,7.48333,145.12834,7.48944,4994,103,7,118,0.75,0.06,6.7,2.46,74.0,2.4,8.99,0.06,1
5159,N2960...,145.15251,3.57583,145.15167,3.57667,4932,376,7,398,1.97,0.12,9.1,2.5,73.3,2.1,9.4,0.06,1
193899,........,145.17084,13.81194,145.17125,13.7925,11847,278,20,289,1.4,0.09,7.0,2.14,173.8,2.2,10.0,0.05,1
191736,ADBS....,145.17584,12.0975,145.17751,12.09389,6831,134,1,147,3.82,0.08,26.4,2.42,95.9,4.4,9.92,0.06,1
190433,063-034.,145.17667,13.33222,145.17917,13.32694,10452,465,8,479,2.49,0.13,6.6,2.39,153.8,2.3,10.14,0.05,1
191287,I.549...,145.17584,3.96278,145.18001,3.95972,1335,117,4,136,2.46,0.08,18.8,2.69,21.3,2.3,8.42,0.11,1
5160,N2958...,145.17917,11.89278,145.17375,11.88806,6662,394,3,417,3.68,0.09,21.9,1.89,95.9,4.4,9.9,0.06,1
5164,063-035a,145.20876,11.55056,145.20709,11.55167,6713,461,18,515,7.22,0.13,29.7,2.35,95.9,4.4,10.19,0.06,1
193093,........,145.21959,3.65167,145.22334,3.65111,3621,42,6,65,0.9,0.05,13.2,2.3,55.0,2.2,8.81,0.06,1
193900,........,145.22459,15.0625,145.22708,15.07444,3820,152,10,184,0.85,0.06,8.7,1.76,57.3,2.3,8.82,0.06,1
192833,........,145.22501,5.05028,145.23459,5.04472,1871,49,13,99,1.3,0.07,16.8,2.44,29.3,2.3,8.42,0.09,1
5167,N2962...,145.22794,5.16778,145.22459,5.16611,1958,414,3,426,4.67,0.13,19.6,2.57,31.1,5.8,9.03,0.17,1
192149,........,145.24918,11.67361,145.24709,11.67139,6640,80,17,123,0.93,0.07,10.7,2.15,95.9,4.4,9.3,0.07,1
